Test Name,Test Mode,Test Type,Control,Test Speed 1,Test Speed 2,Test Speed 3,Change Point 1,Change Point 2,Disp. Origin,Break and Limit Action,Sensitivity:,Level:
,Single,Tensile,Stroke,10,1,1,Off,Off,Start,Stop,50,5
,,,,,,,,,,,,
Title,Sub title,Comment,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Shape:,Batch Size:,SubBatch Size:,,,,,,,,,,
Plate,1,1,,,,,,,,,,
Name:,Thickness,Width,Gauge Length,,,,,,,,,
Size Unit:,mm,mm,mm,,,,,,,,,
 Carbon Fiber,1.61,11.22,60,,,,,,,,,
,,,,,,,,,,,,
Name,Max_Force,,,,,,,,,,,
Parameter,,,,,,,,,,,,
Units,kN,,,,,,,,,,,
 Carbon Fiber,6.26906,,,,,,,,,,,
,,,,,,,,,,,,
 1- 1,,,,,,,,,,,,
Time,Force,Stroke,,,,,,,,,,
sec,kN,mm,,,,,,,,,,
0,-0.0003125,0,,,,,,,,,,
0.05,-0.000625,0,,,,,,,,,,
0.1,0.0009375,0.004,,,,,,,,,,
0.15,0.0084375,0.012,,,,,,,,,,
0.2,0.0234375,0.02,,,,,,,,,,
0.25,0.0415625,0.028,,,,,,,,,,
0.3,0.0575,0.036,,,,,,,,,,
0.35,0.0721875,0.045,,,,,,,,,,
0.4,0.0853125,0.053,,,,,,,,,,
0.45,0.09875,0.061,,,,,,,,,,
0.5,0.1125,0.07,,,,,,,,,,
0.55,0.1259375,0.078,,,,,,,,,,
0.6,0.14125,0.086,,,,,,,,,,
0.65,0.158125,0.095,,,,,,,,,,
0.7,0.1740625,0.103,,,,,,,,,,
0.75,0.191875,0.111,,,,,,,,,,
0.8,0.21125,0.12,,,,,,,,,,
0.85,0.230625,0.128,,,,,,,,,,
0.9,0.250625,0.136,,,,,,,,,,
0.95,0.2721875,0.145,,,,,,,,,,
1,0.295,0.153,,,,,,,,,,
1.05,0.3165625,0.161,,,,,,,,,,
1.1,0.3375,0.17,,,,,,,,,,
