"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Carbon Fiber","1.6500","11.1450","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Carbon Fiber","6.80000",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",0,0,
"0.05",-.0003125,.002,
"0.10",.00125,.01,
"0.15",.00875,.018,
"0.20",.023125,.026,
"0.25",.0396875,.034,
"0.30",.0559375,.042,
"0.35",.0696875,.051,
"0.40",.0809375,.059,
"0.45",.0925,.067,
"0.50",.1028125,.076,
"0.55",.1159375,.084,
"0.60",.128125,.092,
"0.65",.14125,.101,
"0.70",.1540625,.109,
"0.75",.1678125,.117,
"0.80",.181875,.126,
"0.85",.1965625,.134,
"0.90",.211875,.142,
"0.95",.229375,.151,
"1.00",.2471875,.159,
"1.05",.265,.167,
"1.10",.2853125,.176,
"1.15",.3059375,.184,
"1.20",.3246875,.192,
"1.25",.343125,.201,
"1.30",.363125,.209,
"1.35",.3821875,.217,
"1.40",.4015625,.226,
"1.45",.42,.234,
"1.50",.4371875,.243,
"1.55",.453125,.251,
"1.60",.4675,.259,
"1.65",.4809375,.267,
"1.70",.4928125,.276,
"1.75",.5040625,.284,
"1.80",.5159375,.292,
"1.85",.526875,.301,
"1.90",.5384375,.309,
"1.95",.548125,.317,
"2.00",.559375,.326,
"2.05",.568125,.334,
"2.10",.5775,.343,
"2.15",.586875,.351,
"2.20",.5965625,.359,
"2.25",.6059375,.367,
"2.30",.615,.376,
"2.35",.6253125,.384,
"2.40",.6340625,.392,
"2.45",.645,.401,
"2.50",.6553125,.409,
"2.55",.665,.417,
"2.60",.6753125,.426,
"2.65",.6871875,.434,
"2.70",.6971875,.442,
"2.75",.708125,.451,
"2.80",.7209375,.459,
"2.85",.7309375,.467,
"2.90",.7421875,.476,
"2.95",.754375,.484,
"3.00",.765,.492,
"3.05",.77625,.501,
"3.10",.7875,.509,
"3.15",.800625,.517,
"3.20",.8115625,.526,
"3.25",.8240625,.534,
"3.30",.8359375,.543,
"3.35",.8475,.551,
"3.40",.8603125,.559,
"3.45",.873125,.567,
"3.50",.8859375,.576,
"3.55",.8978125,.584,
"3.60",.9103125,.592,
"3.65",.923125,.601,
"3.70",.9359375,.609,
"3.75",.948125,.617,
"3.80",.9609375,.626,
"3.85",.975,.634,
"3.90",.9875,.642,
"3.95",1.000937,.651,
"4.00",1.014375,.659,
"4.05",1.027187,.667,
"4.10",1.039688,.676,
"4.15",1.053125,.684,
"4.20",1.065938,.692,
"4.25",1.079062,.701,
"4.30",1.092188,.709,
"4.35",1.105,.717,
"4.40",1.118125,.726,
"4.45",1.1325,.734,
"4.50",1.145313,.743,
"4.55",1.158125,.751,
"4.60",1.171875,.759,
"4.65",1.185938,.767,
"4.70",1.199687,.776,
"4.75",1.212813,.784,
"4.80",1.22625,.792,
"4.85",1.239375,.801,
"4.90",1.252813,.809,
"4.95",1.265937,.817,
"5.00",1.278125,.826,
"5.05",1.292187,.834,
"5.10",1.305313,.843,
"5.15",1.318437,.851,
"5.20",1.33125,.859,
"5.25",1.343125,.868,
"5.30",1.355937,.876,
"5.35",1.37,.884,
"5.40",1.383125,.892,
"5.45",1.398125,.901,
"5.50",1.412187,.909,
"5.55",1.427187,.917,
"5.60",1.44125,.926,
"5.65",1.454687,.934,
"5.70",1.469687,.942,
"5.75",1.481875,.951,
"5.80",1.497187,.959,
"5.85",1.510937,.967,
"5.90",1.524063,.976,
"5.95",1.537812,.984,
"6.00",1.551875,.992,
"6.05",1.565625,1.001,
"6.10",1.580312,1.009,
"6.15",1.594375,1.017,
"6.20",1.6075,1.026,
"6.25",1.621875,1.034,
"6.30",1.635,1.043,
"6.35",1.650938,1.051,
"6.40",1.661562,1.059,
"6.45",1.67625,1.067,
