"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Glass Fiber","1.1800","10.5800","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Glass Fiber","2.07938",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",.0003125,0,
"0.05",.0003125,0,
"0.10",1.71875E-03,.006,
"0.15",.0078125,.013,
"0.20",.01875,.021,
"0.25",3.234375E-02,.03,
"0.30",.045625,.038,
"0.35",.0596875,.046,
"0.40",7.171875E-02,.055,
"0.45",.08375,.063,
"0.50",9.453125E-02,.071,
"0.55",.1051563,.08,
"0.60",.1160937,.088,
"0.65",.1267187,.096,
"0.70",.1371875,.105,
"0.75",.14625,.113,
"0.80",.1559375,.121,
"0.85",.1653125,.13,
"0.90",.1732813,.138,
"0.95",.1814062,.146,
"1.00",.18875,.155,
"1.05",.19625,.163,
"1.10",.2034375,.171,
"1.15",.2107812,.18,
"1.20",.2176563,.188,
"1.25",.2245312,.196,
"1.30",.2304688,.204,
"1.35",.23625,.213,
"1.40",.2425,.221,
"1.45",.2476563,.23,
"1.50",.2526563,.238,
"1.55",.2571875,.246,
"1.60",.2621875,.255,
"1.65",.266875,.263,
"1.70",.2720312,.271,
"1.75",.27625,.28,
"1.80",.2807812,.288,
"1.85",.2848437,.296,
"1.90",.2892188,.304,
"1.95",.293125,.313,
"2.00",.2975,.321,
"2.05",.3017187,.33,
"2.10",.3057812,.338,
"2.15",.31,.346,
"2.20",.31375,.355,
"2.25",.318125,.363,
"2.30",.3221875,.371,
"2.35",.3267187,.38,
"2.40",.3309375,.388,
"2.45",.3348438,.396,
"2.50",.3392187,.405,
"2.55",.3428125,.413,
"2.60",.3473437,.421,
"2.65",.35125,.43,
"2.70",.3553125,.438,
"2.75",.3596875,.446,
"2.80",.3635938,.455,
"2.85",.3676563,.463,
"2.90",.3725,.471,
"2.95",.3759375,.48,
"3.00",.3796875,.488,
"3.05",.384375,.496,
"3.10",.3879687,.505,
"3.15",.3914062,.513,
"3.20",.395625,.521,
"3.25",.3995312,.53,
"3.30",.4028125,.538,
"3.35",.4067188,.546,
"3.40",.4101563,.555,
"3.45",.4135937,.563,
"3.50",.4171875,.571,
"3.55",.4209375,.58,
"3.60",.4246875,.588,
"3.65",.4290625,.596,
"3.70",.4332812,.605,
"3.75",.4379688,.613,
"3.80",.4420313,.621,
"3.85",.4464062,.63,
"3.90",.4509375,.638,
"3.95",.4551562,.646,
"4.00",.4590625,.655,
"4.05",.4632812,.663,
"4.10",.4667188,.671,
"4.15",.4709375,.68,
"4.20",.4746875,.688,
"4.25",.4784375,.696,
"4.30",.4823438,.705,
"4.35",.4873438,.713,
"4.40",.4909375,.721,
"4.45",.4951563,.73,
"4.50",.49875,.738,
"4.55",.5029687,.746,
"4.60",.506875,.755,
"4.65",.51125,.763,
"4.70",.5151563,.771,
"4.75",.519375,.78,
"4.80",.5235937,.788,
"4.85",.5276563,.796,
"4.90",.53125,.805,
"4.95",.5354688,.813,
"5.00",.54,.821,
"5.05",.544375,.83,
"5.10",.5475,.838,
"5.15",.5510938,.846,
"5.20",.5551562,.855,
"5.25",.5596875,.863,
"5.30",.5645313,.871,
"5.35",.5684375,.88,
"5.40",.5728125,.888,
"5.45",.5778125,.896,
"5.50",.5820313,.905,
"5.55",.5865625,.913,
"5.60",.5909375,.921,
"5.65",.5954688,.93,
"5.70",.6001562,.938,
"5.75",.6046875,.946,
"5.80",.6089063,.955,
"5.85",.6140625,.963,
"5.90",.6179687,.971,
"5.95",.6228125,.98,
"6.00",.6273438,.988,
"6.05",.6315625,.996,
"6.10",.6360937,1.005,
"6.15",.640625,1.013,
"6.20",.6454688,1.021,
"6.25",.6503125,1.03,
"6.30",.6551563,1.038,
"6.35",.6595312,1.046,
"6.40",.6639063,1.055,
"6.45",.6689063,1.063,
"6.50",.673125,1.071,
"6.55",.6779687,1.08,
"6.60",.6826562,1.088,
"6.65",.6870313,1.096,
"6.70",.691875,1.105,
"6.75",.6964062,1.113,
"6.80",.7014062,1.121,
"6.85",.70625,1.13,
"6.90",.7107813,1.138,
"6.95",.7159375,1.146,
"7.00",.7210938,1.155,
"7.05",.7264063,1.163,
"7.10",.7314063,1.171,
"7.15",.7370312,1.18,
"7.20",.741875,1.188,
"7.25",.746875,1.196,
"7.30",.7514063,1.205,
"7.35",.7564062,1.213,
"7.40",.7614062,1.221,
"7.45",.7657812,1.23,
"7.50",.7703125,1.238,
"7.55",.775,1.246,
"7.60",.7795312,1.255,
"7.65",.7842187,1.263,
"7.70",.7890625,1.271,
"7.75",.7939063,1.28,
"7.80",.7982813,1.288,
"7.85",.8035938,1.296,
"7.90",.8079687,1.305,
"7.95",.8129687,1.313,
"8.00",.8173438,1.321,
"8.05",.8226563,1.33,
"8.10",.8276563,1.338,
"8.15",.8325,1.346,
"8.20",.8370312,1.355,
"8.25",.8417187,1.363,
"8.30",.8467187,1.371,
"8.35",.8514063,1.38,
"8.40",.85625,1.388,
"8.45",.8614063,1.396,
"8.50",.86625,1.405,
"8.55",.8709375,1.413,
"8.60",.875625,1.421,
"8.65",.8807812,1.43,
"8.70",.8853125,1.438,
"8.75",.8903125,1.446,
"8.80",.8945313,1.455,
"8.85",.8995312,1.463,
"8.90",.905,1.471,
"8.95",.9098437,1.48,
"9.00",.9146875,1.488,
"9.05",.919375,1.496,
"9.10",.9245312,1.505,
"9.15",.929375,1.513,
"9.20",.934375,1.521,
"9.25",.9398438,1.53,
"9.30",.9446875,1.538,
"9.35",.949375,1.546,
"9.40",.9546875,1.555,
"9.45",.96,1.563,
"9.50",.9653125,1.571,
"9.55",.97,1.58,
"9.60",.9753125,1.588,
"9.65",.9798437,1.596,
"9.70",.9853125,1.605,
"9.75",.9909375,1.613,
"9.80",.995625,1.621,
"9.85",1.000469,1.63,
"9.90",1.005781,1.638,
"9.95",1.01125,1.646,
"10.00",1.01625,1.655,
"10.05",1.021094,1.663,
"10.10",1.026406,1.671,
"10.15",1.031875,1.68,
"10.20",1.036562,1.688,
"10.25",1.042187,1.696,
"10.30",1.047187,1.705,
"10.35",1.052187,1.713,
"10.40",1.057188,1.721,
"10.45",1.062188,1.73,
"10.50",1.067344,1.738,
"10.55",1.0725,1.746,
"10.60",1.076875,1.755,
"10.65",1.082656,1.763,
"10.70",1.087813,1.771,
"10.75",1.093125,1.78,
"10.80",1.098281,1.788,
"10.85",1.103281,1.796,
"10.90",1.108594,1.805,
"10.95",1.112969,1.813,
"11.00",1.119531,1.821,
"11.05",1.124531,1.83,
"11.10",1.129531,1.838,
"11.15",1.134531,1.846,
"11.20",1.14,1.855,
"11.25",1.145313,1.863,
"11.30",1.150625,1.871,
"11.35",1.155938,1.88,
"11.40",1.161875,1.888,
"11.45",1.167031,1.896,
"11.50",1.1725,1.905,
"11.55",1.177969,1.913,
"11.60",1.183281,1.921,
"11.65",1.188594,1.93,
"11.70",1.193437,1.938,
"11.75",1.199219,1.946,
"11.80",1.203906,1.955,
"11.85",1.209062,1.963,
"11.90",1.214062,1.971,
