Wavelength (nm),Colloid solution,1 drop of NaCl,2 drops of NaCl,3 drops of NaCl,4 drops of NaCl,5 drops of NaCl
400,2.301,2.228,2.112,1.888,1.467,1.229
400.5,2.312,2.218,2.118,1.881,1.467,1.229
401,2.311,2.215,2.12,1.88,1.466,1.228
401.5,2.315,2.222,2.12,1.883,1.465,1.228
402,2.303,2.217,2.108,1.88,1.465,1.227
402.5,2.305,2.214,2.106,1.879,1.463,1.227
403,2.311,2.207,2.105,1.877,1.462,1.226
403.5,2.306,2.203,2.105,1.873,1.463,1.226
404,2.3,2.204,2.105,1.872,1.462,1.225
404.5,2.295,2.207,2.102,1.872,1.46,1.225
405,2.296,2.2,2.101,1.87,1.46,1.225
405.5,2.295,2.204,2.099,1.867,1.459,1.224
406,2.3,2.197,2.097,1.867,1.458,1.223
406.5,2.288,2.194,2.1,1.864,1.458,1.222
407,2.287,2.198,2.093,1.863,1.457,1.222
407.5,2.283,2.196,2.083,1.861,1.455,1.222
408,2.284,2.188,2.088,1.861,1.454,1.221
408.5,2.283,2.191,2.086,1.861,1.453,1.22
409,2.283,2.192,2.084,1.859,1.453,1.219
409.5,2.275,2.189,2.083,1.859,1.452,1.219
410,2.284,2.182,2.081,1.856,1.453,1.219
410.5,2.276,2.178,2.079,1.853,1.451,1.218
411,2.273,2.181,2.073,1.851,1.451,1.218
411.5,2.269,2.176,2.075,1.846,1.45,1.217
412,2.272,2.175,2.078,1.849,1.449,1.216
412.5,2.274,2.179,2.076,1.847,1.448,1.216
413,2.266,2.174,2.069,1.846,1.447,1.216
413.5,2.266,2.172,2.07,1.846,1.446,1.216
414,2.269,2.173,2.066,1.845,1.445,1.215
414.5,2.262,2.168,2.067,1.842,1.446,1.214
415,2.265,2.17,2.061,1.841,1.444,1.213
415.5,2.26,2.164,2.061,1.839,1.442,1.212
416,2.258,2.164,2.062,1.838,1.442,1.212
416.5,2.26,2.163,2.057,1.837,1.441,1.212
417,2.26,2.162,2.058,1.837,1.441,1.211
417.5,2.255,2.158,2.056,1.837,1.441,1.211
418,2.256,2.158,2.056,1.834,1.44,1.211
418.5,2.25,2.157,2.052,1.831,1.44,1.21
419,2.253,2.161,2.051,1.83,1.439,1.21
419.5,2.252,2.16,2.049,1.829,1.438,1.209
420,2.254,2.155,2.049,1.829,1.438,1.208
420.5,2.249,2.154,2.05,1.827,1.437,1.208
421,2.248,2.155,2.048,1.824,1.436,1.207
421.5,2.245,2.153,2.045,1.824,1.435,1.207
422,2.246,2.147,2.045,1.825,1.434,1.206
422.5,2.243,2.149,2.045,1.823,1.433,1.206
423,2.245,2.145,2.042,1.82,1.432,1.205
423.5,2.241,2.145,2.04,1.821,1.431,1.205
424,2.239,2.145,2.038,1.819,1.431,1.204
424.5,2.243,2.145,2.039,1.821,1.431,1.204
425,2.236,2.144,2.036,1.82,1.43,1.203
425.5,2.24,2.145,2.037,1.816,1.429,1.203
